  2: Obj = 8.481e-06, alpha = 1.319e-09, beta = 2.170e-09, eps = 8.538e-24, dual = 4.071e-04, #nonzeros = 31, x-x_p = 4.793e-05 
  1: Obj = 7.527e-06, alpha = 4.185e-08, beta = 1.530e-06, eps = 1.058e-16, dual = 3.676e-04, #nonzeros = 31, x-x_p = 2.235e-03 
  2: Obj = 7.509e-06, alpha = 9.998e-10, beta = 1.769e-09, eps = 5.991e-24, dual = 3.523e-04, #nonzeros = 31, x-x_p = 4.251e-05 
  1: Obj = 6.646e-06, alpha = 3.396e-08, beta = 1.438e-06, eps = 8.895e-17, dual = 3.172e-04, #nonzeros = 31, x-x_p = 2.118e-03 
  2: Obj = 6.631e-06, alpha = 7.472e-10, beta = 1.413e-09, eps = 4.021e-24, dual = 3.037e-04, #nonzeros = 31, x-x_p = 3.741e-05 
  1: Obj = 5.855e-06, alpha = 2.741e-08, beta = 1.342e-06, eps = 7.304e-17, dual = 2.729e-04, #nonzeros = 31, x-x_p = 2.005e-03 
  2: Obj = 5.843e-06, alpha = 5.515e-10, beta = 1.109e-09, eps = 2.592e-24, dual = 2.611e-04, #nonzeros = 31, x-x_p = 3.269e-05 
  1: Obj = 5.149e-06, alpha = 2.201e-08, beta = 1.243e-06, eps = 5.867e-17, dual = 2.341e-04, #nonzeros = 31, x-x_p = 1.896e-03 
  2: Obj = 5.139e-06, alpha = 4.026e-10, beta = 8.531e-10, eps = 1.602e-24, dual = 2.239e-04, #nonzeros = 31, x-x_p = 2.838e-05 
  1: Obj = 4.521e-06, alpha = 1.761e-08, beta = 1.144e-06, eps = 4.618e-17, dual = 2.005e-04, #nonzeros = 31, x-x_p = 1.792e-03 
  2: Obj = 4.514e-06, alpha = 2.912e-10, beta = 6.481e-10, eps = 9.577e-25, dual = 1.916e-04, #nonzeros = 31, x-x_p = 2.450e-05 
  1: Obj = 3.967e-06, alpha = 1.405e-08, beta = 1.047e-06, eps = 3.567e-17, dual = 1.714e-04, #nonzeros = 31, x-x_p = 1.692e-03 
  2: Obj = 3.961e-06, alpha = 2.088e-10, beta = 4.890e-10, eps = 5.581e-25, dual = 1.638e-04, #nonzeros = 31, x-x_p = 2.104e-05 
  1: Obj = 3.478e-06, alpha = 1.121e-08, beta = 9.524e-07, eps = 2.709e-17, dual = 1.464e-04, #nonzeros = 31, x-x_p = 1.596e-03 
  2: Obj = 3.473e-06, alpha = 1.488e-10, beta = 3.642e-10, eps = 3.157e-25, dual = 1.399e-04, #nonzeros = 31, x-x_p = 1.801e-05 
  1: Obj = 3.048e-06, alpha = 8.928e-09, beta = 8.627e-07, eps = 2.027e-17, dual = 1.250e-04, #nonzeros = 31, x-x_p = 1.506e-03 
  2: Obj = 3.044e-06, alpha = 1.054e-10, beta = 2.703e-10, eps = 1.753e-25, dual = 1.194e-04, #nonzeros = 31, x-x_p = 1.536e-05 
  1: Obj = 2.671e-06, alpha = 7.108e-09, beta = 7.782e-07, eps = 1.497e-17, dual = 1.068e-04, #nonzeros = 31, x-x_p = 1.421e-03 
  2: Obj = 2.668e-06, alpha = 7.434e-11, beta = 2.050e-10, eps = 9.818e-26, dual = 1.020e-04, #nonzeros = 31, x-x_p = 1.306e-05 
  1: Obj = 2.341e-06, alpha = 5.660e-09, beta = 6.997e-07, eps = 1.093e-17, dual = 9.118e-05, #nonzeros = 31, x-x_p = 1.341e-03 
  2: Obj = 2.339e-06, alpha = 5.224e-11, beta = 1.527e-10, eps = 5.340e-26, dual = 8.713e-05, #nonzeros = 31, x-x_p = 1.109e-05 
  1: Obj = 2.053e-06, alpha = 4.514e-09, beta = 6.272e-07, eps = 7.908e-18, dual = 7.792e-05, #nonzeros = 31, x-x_p = 1.265e-03 
  2: Obj = 2.051e-06, alpha = 3.661e-11, beta = 1.156e-10, eps = 2.925e-26, dual = 7.450e-05, #nonzeros = 31, x-x_p = 9.402e-06 
  1: Obj = 1.800e-06, alpha = 3.606e-09, beta = 5.610e-07, eps = 5.678e-18, dual = 6.666e-05, #nonzeros = 31, x-x_p = 1.194e-03 
  2: Obj = 1.799e-06, alpha = 2.560e-11, beta = 8.866e-11, eps = 1.611e-26, dual = 6.376e-05, #nonzeros = 31, x-x_p = 7.965e-06 
  1: Obj = 1.580e-06, alpha = 2.886e-09, beta = 5.009e-07, eps = 4.052e-18, dual = 5.709e-05, #nonzeros = 31, x-x_p = 1.128e-03 
  2: Obj = 1.579e-06, alpha = 1.787e-11, beta = 6.724e-11, eps = 8.719e-27, dual = 5.463e-05, #nonzeros = 31, x-x_p = 6.746e-06 
  1: Obj = 1.388e-06, alpha = 2.313e-09, beta = 4.467e-07, eps = 2.879e-18, dual = 4.897e-05, #nonzeros = 31, x-x_p = 1.065e-03 
  2: Obj = 1.388e-06, alpha = 1.246e-11, beta = 5.698e-11, eps = 5.249e-27, dual = 4.688e-05, #nonzeros = 31, x-x_p = 5.713e-06 
  1: Obj = 1.220e-06, alpha = 1.858e-09, beta = 3.980e-07, eps = 2.039e-18, dual = 4.206e-05, #nonzeros = 31, x-x_p = 1.007e-03 
  2: Obj = 1.220e-06, alpha = 8.681e-12, beta = 4.640e-11, eps = 3.027e-27, dual = 4.029e-05, #nonzeros = 31, x-x_p = 4.840e-06 
  1: Obj = 1.074e-06, alpha = 1.495e-09, beta = 3.545e-07, eps = 1.441e-18, dual = 3.619e-05, #nonzeros = 31, x-x_p = 9.517e-04 
  2: Obj = 1.074e-06, alpha = 6.148e-12, beta = 3.678e-11, eps = 1.696e-27, dual = 3.469e-05, #nonzeros = 31, x-x_p = 4.104e-06 
  1: Obj = 9.458e-07, alpha = 1.206e-09, beta = 3.157e-07, eps = 1.018e-18, dual = 3.119e-05, #nonzeros = 31, x-x_p = 9.002e-04 
  2: Obj = 9.455e-07, alpha = 4.722e-12, beta = 3.436e-11, eps = 1.119e-27, dual = 2.992e-05, #nonzeros = 31, x-x_p = 3.483e-06 
  1: Obj = 8.338e-07, alpha = 9.751e-10, beta = 2.812e-07, eps = 7.194e-19, dual = 2.693e-05, #nonzeros = 31, x-x_p = 8.519e-04 
  2: Obj = 8.336e-07, alpha = 3.635e-12, beta = 3.013e-11, eps = 6.936e-28, dual = 2.585e-05, #nonzeros = 31, x-x_p = 2.960e-06 
  1: Obj = 7.358e-07, alpha = 7.903e-10, beta = 2.506e-07, eps = 5.090e-19, dual = 2.330e-05, #nonzeros = 31, x-x_p = 8.065e-04 
  2: Obj = 7.356e-07, alpha = 2.804e-12, beta = 2.542e-11, eps = 4.140e-28, dual = 2.238e-05, #nonzeros = 31, x-x_p = 2.518e-06 
  1: Obj = 6.500e-07, alpha = 6.421e-10, beta = 2.236e-07, eps = 3.609e-19, dual = 2.019e-05, #nonzeros = 31, x-x_p = 7.639e-04 
  2: Obj = 6.498e-07, alpha = 2.169e-12, beta = 2.115e-11, eps = 2.443e-28, dual = 1.941e-05, #nonzeros = 31, x-x_p = 2.146e-06 
  1: Obj = 5.747e-07, alpha = 5.230e-10, beta = 1.996e-07, eps = 2.566e-19, dual = 1.753e-05, #nonzeros = 31, x-x_p = 7.238e-04 
  2: Obj = 5.746e-07, alpha = 1.683e-12, beta = 1.862e-11, eps = 1.529e-28, dual = 1.686e-05, #nonzeros = 31, x-x_p = 1.832e-06 
  1: Obj = 5.087e-07, alpha = 4.271e-10, beta = 1.785e-07, eps = 1.831e-19, dual = 1.525e-05, #nonzeros = 31, x-x_p = 6.861e-04 
  2: Obj = 5.086e-07, alpha = 1.310e-12, beta = 1.978e-11, eps = 1.159e-28, dual = 1.468e-05, #nonzeros = 31, x-x_p = 1.567e-06 
  1: Obj = 4.506e-07, alpha = 3.496e-10, beta = 1.598e-07, eps = 1.311e-19, dual = 1.329e-05, #nonzeros = 31, x-x_p = 6.506e-04 
  2: Obj = 4.506e-07, alpha = 1.023e-12, beta = 1.567e-11, eps = 6.578e-29, dual = 1.280e-05, #nonzeros = 31, x-x_p = 1.342e-06 
  1: Obj = 3.996e-07, alpha = 2.869e-10, beta = 1.433e-07, eps = 9.435e-20, dual = 1.160e-05, #nonzeros = 31, x-x_p = 6.171e-04 
  2: Obj = 3.995e-07, alpha = 8.010e-13, beta = 1.653e-11, eps = 4.992e-29, dual = 1.118e-05, #nonzeros = 31, x-x_p = 1.152e-06 
